Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_020578085.1	ASM2057808v1	Parastagonospora nodorum		16FG164					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFN01	328
GCA_020571895.1	ASM2057189v1	Parastagonospora nodorum		WAC13076					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREP01	450
GCA_020557385.1	ASM2055738v1	Parastagonospora nodorum		WAC9178					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDT01	941
GCA_020577905.1	ASM2057790v1	Parastagonospora nodorum		16FG166					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFL01	309
GCA_020579815.1	ASM2057981v1	Parastagonospora nodorum		15FG237					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIZ01	551
GCA_020580155.1	ASM2058015v1	Parastagonospora nodorum		15FG115					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJF01	434
GCA_020577805.1	ASM2057780v1	Parastagonospora nodorum		16FG168					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFJ01	340
GCA_020574145.1	ASM2057414v1	Parastagonospora nodorum		FGW003_5					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREW01	535
GCA_020574055.1	ASM2057405v1	Parastagonospora nodorum		Meck1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHS01	470
GCA_020574265.1	ASM2057426v1	Parastagonospora nodorum		FG106					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREY01	397
GCA_020570045.1	ASM2057004v1	Parastagonospora nodorum		WAC13532					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREI01	433
GCA_020580905.1	ASM2058090v1	Parastagonospora nodorum		15FG103					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFZ01	450
GCA_020568765.1	ASM2056876v1	Parastagonospora nodorum		WAC4319					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDY01	543
GCA_020577915.1	ASM2057791v1	Parastagonospora nodorum		16FG165					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFM01	389
GCA_020575615.1	ASM2057561v1	Parastagonospora nodorum		202FG212					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIL01	677
GCA_020574405.1	ASM2057440v1	Parastagonospora nodorum		206FG227					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHY01	476
GCA_020574825.1	ASM2057482v1	Parastagonospora nodorum		205FG216					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIB01	388
GCA_020576365.1	ASM2057636v1	Parastagonospora nodorum		16FG169					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFI01	353
GCA_020572345.1	ASM2057234v1	Parastagonospora nodorum		WAC13070					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHD01	408
GCA_020578095.1	ASM2057809v1	Parastagonospora nodorum		16FG162					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFP01	373
GCA_020574085.1	ASM2057408v1	Parastagonospora nodorum		Gerald4					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHT01	326
GCA_020578295.1	ASM2057829v1	Parastagonospora nodorum		15FG99					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIT01	355
GCA_020575405.1	ASM2057540v1	Parastagonospora nodorum		203FG58					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRII01	415
GCA_020569895.1	ASM2056989v1	Parastagonospora nodorum		WAC13631					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGL01	511
GCA_020569145.1	ASM2056914v1	Parastagonospora nodorum		WAC2285					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREA01	576
GCA_020574155.1	ASM2057415v1	Parastagonospora nodorum		FG108					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREX01	514
GCA_020568935.1	ASM2056893v1	Parastagonospora nodorum		WAC2813					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGH01	922
GCA_020574345.1	ASM2057434v1	Parastagonospora nodorum		53FG143_2					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREZ01	420
GCA_020581275.1	ASM2058127v1	Parastagonospora nodorum		14FG141					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJP01	917
GCA_020578105.1	ASM2057810v1	Parastagonospora nodorum		16FG161					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFQ01	343
GCA_020578115.1	ASM2057811v1	Parastagonospora nodorum		16FG160					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFR01	326
GCA_020569485.1	ASM2056948v1	Parastagonospora nodorum		WAC13691					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGI01	943
GCA_020573725.1	ASM2057372v1	Parastagonospora nodorum		Meck6					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREU01	1089
GCA_020573325.1	ASM2057332v1	Parastagonospora nodorum		Nor_RAC2182_2					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRET01	555
GCA_020578375.1	ASM2057837v1	Parastagonospora nodorum		15FG49					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFT01	448
GCA_020568465.1	ASM2056846v1	Parastagonospora nodorum		WAC4808					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDW01	533
GCA_020568945.1	ASM2056894v1	Parastagonospora nodorum		WAC2810					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDZ01	1032
GCA_020580725.1	ASM2058072v1	Parastagonospora nodorum		15FG107					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJJ01	442
GCA_020570935.1	ASM2057093v1	Parastagonospora nodorum		WAC13524					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREL01	486
GCA_020574715.1	ASM2057471v1	Parastagonospora nodorum		206FG226					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFC01	1063
GCA_020577855.1	ASM2057785v1	Parastagonospora nodorum		16FG167					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFK01	386
GCA_020572945.1	ASM2057294v1	Parastagonospora nodorum		Northam_WGT					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHJ01	961
GCA_020570415.1	ASM2057041v1	Parastagonospora nodorum		WAC13529					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGO01	425
GCA_020580085.1	ASM2058008v1	Parastagonospora nodorum		15FG118					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJD01	791
GCA_020570685.1	ASM2057068v1	Parastagonospora nodorum		WAC13526					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGQ01	363
GCA_020581045.1	ASM2058104v1	Parastagonospora nodorum		15FG101					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJM01	731
GCA_020572315.1	ASM2057231v1	Parastagonospora nodorum		WAC13072					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHB01	1264
GCA_020569685.1	ASM2056968v1	Parastagonospora nodorum		WAC13632					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGK01	478
GCA_020572075.1	ASM2057207v1	Parastagonospora nodorum		WAC13074					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHA01	544
GCA_020573605.1	ASM2057360v1	Parastagonospora nodorum		Mur_51					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHP01	578
GCA_020573275.1	ASM2057327v1	Parastagonospora nodorum		Northam_Mace1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHK01	543
GCA_020579835.1	ASM2057983v1	Parastagonospora nodorum		15FG229					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJA01	562
GCA_020575485.1	ASM2057548v1	Parastagonospora nodorum		202FG414					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIK01	1092
GCA_020574295.1	ASM2057429v1	Parastagonospora nodorum		FG107					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHV01	539
GCA_020571965.1	ASM2057196v1	Parastagonospora nodorum		WAC13075					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGZ01	483
GCA_020571545.1	ASM2057154v1	Parastagonospora nodorum		WAC13405					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREO01	919
GCA_020574375.1	ASM2057437v1	Parastagonospora nodorum		206FG68					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFA01	439
GCA_020574725.1	ASM2057472v1	Parastagonospora nodorum		205FG410					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFD01	364
GCA_020569515.1	ASM2056951v1	Parastagonospora nodorum		WAC13666					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGJ01	523
GCA_020570735.1	ASM2057073v1	Parastagonospora nodorum		WAC13525					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGR01	464
GCA_020571295.1	ASM2057129v1	Parastagonospora nodorum		WAC13443					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGU01	501
GCA_020575355.1	ASM2057535v1	Parastagonospora nodorum		204FG214					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIH01	445
GCA_020572635.1	ASM2057263v1	Parastagonospora nodorum		WAC13069					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHE01	454
GCA_020579825.1	ASM2057982v1	Parastagonospora nodorum		15FG28					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIY01	1141
GCA_020574595.1	ASM2057459v1	Parastagonospora nodorum		206FG66					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHX01	624
GCA_020576185.1	ASM2057618v1	Parastagonospora nodorum		201FG208					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIQ01	984
GCA_020570405.1	ASM2057040v1	Parastagonospora nodorum		WAC13530					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREJ01	537
GCA_020580075.1	ASM2058007v1	Parastagonospora nodorum		15FG119					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJC01	808
GCA_020574115.1	ASM2057411v1	Parastagonospora nodorum		Gerald1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHU01	514
GCA_020570975.1	ASM2057097v1	Parastagonospora nodorum		WAC13447					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGT01	805
GCA_020567955.1	ASM2056795v1	Parastagonospora nodorum		WAC8635					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGA01	945
GCA_020575645.1	ASM2057564v1	Parastagonospora nodorum		201FG49					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIM01	768
GCA_020568635.1	ASM2056863v1	Parastagonospora nodorum		WAC4648					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDX01	467
GCA_020570525.1	ASM2057052v1	Parastagonospora nodorum		WAC13528					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREK01	492
GCA_020569505.1	ASM2056950v1	Parastagonospora nodorum		WAC13667					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREE01	563
GCA_020572395.1	ASM2057239v1	Parastagonospora nodorum		S4FT3A					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHG01	799
GCA_020578615.1	ASM2057861v1	Parastagonospora nodorum		15FG33					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIX01	691
GCA_020570395.1	ASM2057039v1	Parastagonospora nodorum		WAC13531					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGN01	462
GCA_020575775.1	ASM2057577v1	Parastagonospora nodorum		201FG219					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIN01	752
GCA_020573765.1	ASM2057376v1	Parastagonospora nodorum		Meck5					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREV01	830
GCA_020574875.1	ASM2057487v1	Parastagonospora nodorum		205FG215_1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIC01	739
GCA_020580415.1	ASM2058041v1	Parastagonospora nodorum		15FG113					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFW01	672
GCA_020573285.1	ASM2057328v1	Parastagonospora nodorum		Northam_Emu2					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHL01	523
GCA_020568205.1	ASM2056820v1	Parastagonospora nodorum		WAC741					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGE01	630
GCA_020578515.1	ASM2057851v1	Parastagonospora nodorum		15FG38					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIV01	866
GCA_020575195.1	ASM2057519v1	Parastagonospora nodorum		204FG223					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIE01	660
GCA_020578585.1	ASM2057858v1	Parastagonospora nodorum		15FG37					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIW01	1177
GCA_020569945.1	ASM2056994v1	Parastagonospora nodorum		WAC13630					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREF01	1151
GCA_020575035.1	ASM2057503v1	Parastagonospora nodorum		205FG215_2					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFE01	835
GCA_020571325.1	ASM2057132v1	Parastagonospora nodorum		WAC13418					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREN01	1116
GCA_020569495.1	ASM2056949v1	Parastagonospora nodorum		WAC13690					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRED01	1169
GCA_020578445.1	ASM2057844v1	Parastagonospora nodorum		15FG47					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIU01	530
GCA_020579855.1	ASM2057985v1	Parastagonospora nodorum		15FG120					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFU01	525
GCA_020571815.1	ASM2057181v1	Parastagonospora nodorum		WAC13402					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGX01	826
GCA_020571885.1	ASM2057188v1	Parastagonospora nodorum		WAC13077					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGY01	611
GCA_020575375.1	ASM2057537v1	Parastagonospora nodorum		204FG221					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIG01	674
GCA_020572205.1	ASM2057220v1	Parastagonospora nodorum		WAC13073					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREQ01	659
GCA_020580115.1	ASM2058011v1	Parastagonospora nodorum		15FG117					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFV01	988
GCA_020570345.1	ASM2057034v1	Parastagonospora nodorum		WAC13617					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGM01	2849
GCA_020580665.1	ASM2058066v1	Parastagonospora nodorum		15FG105					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFY01	1804
GCA_020568415.1	ASM2056841v1	Parastagonospora nodorum		WAC739					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDV01	648
GCA_020581165.1	ASM2058116v1	Parastagonospora nodorum		15FG04					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJO01	811
GCA_020572305.1	ASM2057230v1	Parastagonospora nodorum		WAC13071					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHC01	610
GCA_020571265.1	ASM2057126v1	Parastagonospora nodorum		WAC13446					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREM01	504
GCA_020579845.1	ASM2057984v1	Parastagonospora nodorum		15FG226					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJB01	798
GCA_020571605.1	ASM2057160v1	Parastagonospora nodorum		WAC13403					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGW01	577
GCA_020572645.1	ASM2057264v1	Parastagonospora nodorum		WAC13068					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHF01	559
GCA_020568095.1	ASM2056809v1	Parastagonospora nodorum		WAC8384					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGD01	727
GCA_020580695.1	ASM2058069v1	Parastagonospora nodorum		15FG104					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJK01	658
GCA_020574755.1	ASM2057475v1	Parastagonospora nodorum		205FG225					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIA01	1147
GCA_020572955.1	ASM2057295v1	Parastagonospora nodorum		S1FT3A					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHI01	1369
GCA_020570015.1	ASM2057001v1	Parastagonospora nodorum		WAC13616					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREG01	1004
GCA_020574365.1	ASM2057436v1	Parastagonospora nodorum		53FG143_1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHW01	610
GCA_020575445.1	ASM2057544v1	Parastagonospora nodorum		203FG213					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIJ01	1677
GCA_020580305.1	ASM2058030v1	Parastagonospora nodorum		15FG114					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJG01	674
GCA_020571575.1	ASM2057157v1	Parastagonospora nodorum		WAC13404					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGV01	582
GCA_020572995.1	ASM2057299v1	Parastagonospora nodorum		Northam_Mace2					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRES01	733
GCA_020573915.1	ASM2057391v1	Parastagonospora nodorum		Meck3					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHR01	774
GCA_020573315.1	ASM2057331v1	Parastagonospora nodorum		Northam_Emu1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHM01	883
GCA_020580655.1	ASM2058065v1	Parastagonospora nodorum		15FG109					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFX01	979
GCA_020570965.1	ASM2057096v1	Parastagonospora nodorum		WAC13523					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGS01	481
GCA_020568055.1	ASM2056805v1	Parastagonospora nodorum		WAC8390					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGC01	1362
GCA_020570635.1	ASM2057063v1	Parastagonospora nodorum		WAC13527					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGP01	2456
GCA_020568325.1	ASM2056832v1	Parastagonospora nodorum		WAC740					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDU01	993
GCA_020580425.1	ASM2058042v1	Parastagonospora nodorum		15FG112					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJH01	756
GCA_020575285.1	ASM2057528v1	Parastagonospora nodorum		204FG222					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIF01	1267
GCA_020575975.1	ASM2057597v1	Parastagonospora nodorum		201FG211					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFF01	1470
GCA_020573495.1	ASM2057349v1	Parastagonospora nodorum		Nor_RAC2182_1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHN01	1389
GCA_020570355.1	ASM2057035v1	Parastagonospora nodorum		WAC13615					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREH01	1149
GCA_020580145.1	ASM2058014v1	Parastagonospora nodorum		15FG116					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJE01	1243
GCA_020575105.1	ASM2057510v1	Parastagonospora nodorum		205FG142					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRID01	447
GCA_020574615.1	ASM2057461v1	Parastagonospora nodorum		205FG63					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHZ01	1224
GCA_020568775.1	ASM2056877v1	Parastagonospora nodorum		WAC4303					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGG01	714
GCA_020575995.1	ASM2057599v1	Parastagonospora nodorum		201FG209					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIP01	1264
GCA_020580775.1	ASM2058077v1	Parastagonospora nodorum		15FG102					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJL01	1254
GCA_020568045.1	ASM2056804v1	Parastagonospora nodorum		WAC8410					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGB01	1319
GCA_020580485.1	ASM2058048v1	Parastagonospora nodorum		15FG110					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJI01	1249
GCA_020574385.1	ASM2057438v1	Parastagonospora nodorum		206FG67					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFB01	895
GCA_020575955.1	ASM2057595v1	Parastagonospora nodorum		201FG218					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIO01	1356
GCA_020573625.1	ASM2057362v1	Parastagonospora nodorum		Meck8					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHQ01	1280
GCA_020581155.1	ASM2058115v1	Parastagonospora nodorum		15FG100					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJN01	1148
GCA_020568705.1	ASM2056870v1	Parastagonospora nodorum		WAC4321					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGF01	833
GCA_020572985.1	ASM2057298v1	Parastagonospora nodorum		Northam_Magenta					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRER01	829
GCA_001483515.1	ASM148351v1	Cryptosporidium hominis					30976		Annotation submitted by Division of Foodborne, Waterborne, and Environmental Diseases, Centers for Disease Control and Prevention	Scaffold	2015-12-30	JTAI01	53
GCA_020572675.1	ASM2057267v1	Parastagonospora nodorum		S1FT3B					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHH01	1889
GCA_001593465.1	CryHomTU502-1.0	Cryptosporidium hominis		TU502_2012					Annotation submitted by IGS	Contig	2016-03-17	JIBM01	119
GCA_001593475.1	CryHomUKH1-1.0	Cryptosporidium hominis		UKH1					Annotation submitted by IGS	Contig	2016-03-17	JIBN01	156
GCA_004115165.2	Cimm211_ragoo	Coccidioides immitis		WA_211					Annotation submitted by TGen North	Scaffold	2019-07-01	RHJW02	62
GCA_000338975.1	CocheC5_3	Bipolaris maydis C5		C5					Annotation submitted by JGI	Scaffold	2013-02-21	AIDY01	68
GCA_012184645.1	IPPP_Chae_K1.1	Candidozyma haemuli var. vulneris		K1					Annotation submitted by Instituto de Pesquisa Pele Pequeno Principe	Scaffold	2020-04-08	WYDC01	350
GCA_012184655.1	IPPP_Chae_K2.1	Candidozyma haemuli var. vulneris		K2					Annotation submitted by Instituto de Pesquisa Pele Pequeno Principe	Scaffold	2020-04-08	WYDD01	387
GCA_000474925.1	Spor_sche_ATCC58251_V1	Sporothrix schenckii ATCC 58251		ATCC 58251					Annotation submitted by Broad Institute	Scaffold	2013-10-21	AWEQ01	29
GCA_000151065.3	ASM15106v3	Blumeria hordei DH14		DH14					Annotation submitted by Blumeria Genome Sequencing Consortium	Scaffold	2013-08-06	CAUH01	6843
GCA_000149815.1	ASM14981v1	Coccidioides immitis H538.4		H538.4					Annotation submitted by Broad Institute	Scaffold	2006-09-25	AASO01	553
GCA_000150085.1	ASM15008v1	Coccidioides immitis RMSCC 3703		RMSCC 3703					Annotation submitted by Broad Institute	Scaffold	2007-07-18	ABBC01	286
GCA_000418435.1	Bgt_454_newbler_assembly	Blumeria graminis f. sp. tritici 96224		96224					Annotation submitted by University of Zurich	Scaffold	2013-07-08	ANZE01	1867
GCA_000227375.1	ASM22737v1	Trypanosoma vivax Y486		Y486					Annotation submitted by The Sanger Institute	Contig	2011-08-11	CAEX01	8277
GCA_029890035.1	Pur_ERob_v2	Eschrichtius robustus					ER-17-0199	female	Annotation submitted by Purdue Universtiy	Scaffold	2023-04-27	JAIQCJ01	2689
GCA_020744515.1	Fustr1	Fusarium tricinctum		MPI-SDFR-AT-0068					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-05	JAGPXF01	21
GCA_040760105.1	Colletotrichum_acutatum_COL14	Colletotrichum acutatum		COL14					Annotation submitted by Universita degli Studi della Tuscia	Contig	2024-07-10	JAZDWV01	29
GCA_014595675.1	S_scabiei_pig	Sarcoptes scabiei					SSS_KF_BRIS2020	pooled male and female	Annotation submitted by University of Melbourne	Scaffold	2020-09-15	WVUK01	66
GCA_001983305.1	ASM198330v1	Cyberlindnera fabianii		65					Annotation submitted by WUR	Contig	2017-02-02	MPUK01	25
GCA_019425555.1	ASM1942555v1	Fusarium venenatum		A3/5					Harrison Lab NIAB-EMR Release 1.00	Contig	2021-07-30	MXQG01	104
GCA_044932975.1	ASM4493297v1	Heterodera schachtii					Taebaek		Annotation submitted by Rural Development Administration	Contig	2024-11-15	JBICCN01	458
GCA_037954465.1	CACUL51	Colletotrichum acutatum		L51					Annotation submitted by University of Bologna	Scaffold	2024-04-03	JBBDHJ01	450
GCA_002072265.1	ASM207226v1	Penicillium polonicum		IBT 4502					Annotation submitted by Chalmers University of Technology	Scaffold	2017-03-24	MDYM01	74
GCA_050233555.1	Spalat1	Sparassis latifolia		CCMJ1100					Annotation submitted by DOE Joint Genome Institute	Contig	2025-05-07	JBAJAE01	184
GCA_014773135.2	ASM1477313v2	Meloidogyne graminicola					VN-18		Annotation submitted by Consultative Group for International Agricultural Research Program on rice-agrifood systems	Scaffold	2020-09-28	JABEBT01	281
GCA_002307695.1	Armga1	Armillaria gallica		Ar21-2					Annotation submitted by DOE Joint Genome Institute	Scaffold	2017-09-18	NKEW01	319
GCA_050403145.1	Rt_glutinis_JCM8208v1	Rhodotorula glutinis		JCM8208					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Contig	2024-05-01	BAABUY01	544
GCA_009769425.1	ASM976942v1	Venturia inaequalis		120213					Annotation submitted by ARS	Scaffold	2019-12-19	WNWS01	6915
GCA_009769405.1	ASM976940v1	Venturia inaequalis		DMI_063113					Annotation submitted by ARS	Scaffold	2019-12-19	WNWR01	7554
GCA_016984135.1	BGI_Psen_1.0	Polypterus senegalus					Bchr_001		Annotation submitted by BGI	Scaffold	2021-02-26	JAAWVN01	28218
GCA_009428345.1	AAFC_TiDAOMC236408_1	Tilletia indica		DAOMC 236408					Annotation submitted by Agriculture and Agri-Food Canada	Scaffold	2019-10-30	RDSI01	2555
GCA_003205855.1	ASM320585v1	Cyberlindnera fabianii		YJS4271					Annotation submitted by INRA UMR 1319	Scaffold	2014-07-11		50
GCA_009769445.1	ASM976944v1	Venturia inaequalis					bline_iso_100314		Annotation submitted by ARS	Contig	2019-12-19	WNWQ01	6349
